Date,Closing Price,Pair
8/25/03,0.6924,EUR_GBP
8/26/03,0.6918,EUR_GBP
8/27/03,0.6922,EUR_GBP
8/28/03,0.6897,EUR_GBP
8/29/03,0.6961,EUR_GBP
9/01/03,0.6982,EUR_GBP
9/02/03,0.6896,EUR_GBP
9/03/03,0.6903,EUR_GBP
9/04/03,0.6916,EUR_GBP
9/05/03,0.6993,EUR_GBP
9/08/03,0.6995,EUR_GBP
9/09/03,0.7055,EUR_GBP
9/10/03,0.7044,EUR_GBP
9/11/03,0.7028,EUR_GBP
9/12/03,0.7044,EUR_GBP
9/15/03,0.7051,EUR_GBP
9/16/03,0.7041,EUR_GBP
9/17/03,0.7008,EUR_GBP
9/18/03,0.6954,EUR_GBP
9/19/03,0.6956,EUR_GBP
9/22/03,0.695,EUR_GBP
9/23/03,0.6935,EUR_GBP
9/24/03,0.693,EUR_GBP
9/25/03,0.6925,EUR_GBP
9/26/03,0.6917,EUR_GBP
9/29/03,0.6958,EUR_GBP
9/30/03,0.7017,EUR_GBP
10/01/03,0.7022,EUR_GBP
10/02/03,0.7002,EUR_GBP
10/03/03,0.6959,EUR_GBP
10/06/03,0.7013,EUR_GBP
10/07/03,0.7079,EUR_GBP
10/08/03,0.7105,EUR_GBP
10/09/03,0.7047,EUR_GBP
10/10/03,0.7087,EUR_GBP
10/13/03,0.7026,EUR_GBP
10/14/03,0.7016,EUR_GBP
10/15/03,0.6978,EUR_GBP
10/16/03,0.6929,EUR_GBP
10/17/03,0.6961,EUR_GBP
10/20/03,0.6963,EUR_GBP
10/21/03,0.6967,EUR_GBP
10/22/03,0.6979,EUR_GBP
10/23/03,0.697,EUR_GBP
10/24/03,0.6954,EUR_GBP
10/27/03,0.6928,EUR_GBP
10/28/03,0.6873,EUR_GBP
10/29/03,0.6867,EUR_GBP
10/30/03,0.6856,EUR_GBP
10/31/03,0.6835,EUR_GBP
11/03/03,0.6838,EUR_GBP
11/04/03,0.6843,EUR_GBP
11/05/03,0.6834,EUR_GBP
11/06/03,0.684,EUR_GBP
11/07/03,0.6889,EUR_GBP
11/10/03,0.6869,EUR_GBP
11/11/03,0.6912,EUR_GBP
11/12/03,0.6952,EUR_GBP
11/13/03,0.6956,EUR_GBP
11/14/03,0.698,EUR_GBP
11/17/03,0.6945,EUR_GBP
11/18/03,0.7024,EUR_GBP
